nodes,edges,instance,ants,n_nodes,value,time
20,20,2,4,9,501,3.52895
20,20,3,4,10,662,4.75312
20,20,4,4,8,557,2.83636
20,20,5,4,9,487,3.3852
20,20,6,4,9,555,4.3359
20,20,7,4,8,410,3.05532
20,20,8,4,8,568,3.20306
20,20,9,4,7,454,3.03895
20,20,10,4,8,564,3.21467
20,40,1,4,12,801,5.4612
20,40,2,4,10,713,4.50506
20,40,3,4,12,896,4.91209
20,40,4,4,11,564,4.73103
20,40,5,4,11,594,6.49887
20,40,6,4,11,726,4.61359
20,40,7,4,11,680,4.65223
20,40,8,4,12,745,5.00587
20,40,9,4,11,725,4.546
20,40,10,4,13,767,5.19136
20,60,1,4,14,1093,6.93219
20,60,2,4,13,869,6.24305
20,60,3,4,15,785,6.45286
20,60,4,4,14,998,6.00765
20,60,5,4,14,867,6.28047
20,60,6,4,13,732,5.58691
20,60,7,4,14,876,6.46692
20,60,8,4,13,844,5.89195
20,60,9,4,13,901,5.7031
20,60,10,4,14,762,6.0009
20,80,1,4,15,1080,6.85667
20,80,2,4,14,892,6.31147
20,80,3,4,14,939,7.25049
20,80,4,4,15,921,7.92235
20,80,5,4,15,856,9.30175
20,80,6,4,13,840,6.3201
20,80,7,4,14,844,7.65302
20,80,8,4,15,983,8.1646
20,80,9,4,14,925,6.65864
20,80,10,4,14,849,6.32043
20,100,1,4,15,953,8.21308
20,100,2,4,16,984,7.55155
20,100,3,4,14,969,6.22131
20,100,4,4,15,1010,12.1102
20,100,5,4,16,958,5.98794
20,100,6,4,14,773,7.02004
20,100,7,4,16,1102,6.63164
20,100,8,4,15,1077,6.99591
20,100,9,4,16,1042,7.9655
20,100,10,4,16,1115,7.19341
20,120,1,4,16,959,7.18742
20,120,2,4,16,1068,8.07108
20,120,3,4,16,910,7.59821
20,120,4,4,17,1146,8.16199
20,120,5,4,16,1261,9.2208
20,120,6,4,16,1014,7.74727
20,120,7,4,16,1000,7.16041
20,120,8,4,17,1066,8.20437
20,120,9,4,17,1037,7.56688
20,120,10,4,17,802,8.69027
25,40,1,4,13,863,6.40516
25,40,2,4,13,939,6.32688
25,40,3,4,13,965,12.1777
25,40,4,4,13,559,6.60146
25,40,5,4,13,729,6.67842
25,40,6,4,13,726,6.67359
25,40,7,4,13,984,5.8887
25,40,8,4,13,822,5.7876
25,40,9,4,14,817,5.94306
25,40,10,4,14,804,6.63615
25,80,1,4,17,1337,8.53158
25,80,2,4,17,917,8.53427
25,80,3,4,17,1162,9.23929
25,80,4,4,16,888,9.07922
25,80,5,4,17,1085,10.2296
25,80,6,4,15,971,9.04973
25,80,7,4,17,1161,8.67351
25,80,8,4,16,1039,8.04303
25,80,9,4,16,986,7.38
25,80,10,4,16,1085,8.3853
25,100,1,4,18,1223,10.0404
25,100,2,4,19,1212,10.0727
25,100,3,4,20,1255,10.4694
25,100,4,4,18,969,9.04212
25,100,5,4,18,834,9.52623
25,100,6,4,18,1187,10.4376
25,100,7,4,19,944,9.62331
25,100,8,4,17,897,12.3748
25,100,9,4,18,1344,20.9849
25,100,10,4,18,1238,20.0708
25,150,1,4,21,1448,25.4651
25,150,2,4,19,1210,23.7116
25,150,3,4,21,1457,25.7536
25,150,4,4,19,1152,38.339
25,150,5,4,20,1213,25.6561
25,150,6,4,20,1151,25.7103
25,150,7,4,20,1132,25.0812
25,150,8,4,19,1065,32.3926
25,150,9,4,20,1281,25.663
25,150,10,4,20,1540,25.5546
25,200,1,4,21,1446,28.5163
25,200,2,4,22,1226,27.7516
25,200,3,4,21,1220,30.9274
25,200,4,4,22,1592,28.5389
25,200,5,4,20,1304,25.6355
25,200,6,4,21,1458,27.8034
25,200,7,4,20,1313,31.291
25,200,8,4,21,1662,32.899
25,200,9,4,21,1371,28.2161
25,200,10,4,21,1152,27.859
10,10,1,5,4,174,1.09772
10,10,2,5,5,159,1.24091
10,10,3,5,4,232,1.20665
10,10,4,5,4,184,0.997281
10,10,5,5,4,308,1.3243
10,10,6,5,4,268,1.48094
10,10,7,5,4,220,1.20183
10,10,8,5,5,372,1.40687
10,10,9,5,5,234,1.35775
10,10,10,5,4,215,1.22345
10,20,1,5,5,271,1.78524
10,20,2,5,7,257,2.22781
10,20,3,5,6,334,1.77636
10,20,4,5,6,311,1.97103
10,20,5,5,6,262,2.19801
10,20,6,5,6,323,1.4336
10,20,7,5,6,403,1.60848
10,20,8,5,6,458,2.01848
10,20,9,5,6,400,1.67884
10,20,10,5,6,388,1.66239
10,30,1,5,8,469,2.25487
10,30,2,5,7,563,7.52591
10,30,3,5,7,537,12.4762
10,30,4,5,8,325,2.52408
10,30,5,5,7,391,2.35955
10,30,6,5,7,386,2.05608
10,30,7,5,8,436,2.42001
10,30,8,5,7,447,2.45869
10,30,9,5,7,418,2.41184
10,30,10,5,7,445,3.45242
10,40,1,5,8,526,2.65532
10,40,2,5,8,496,2.37887
10,40,3,5,8,548,2.90939
10,40,4,5,8,426,3.39378
10,40,5,5,8,449,2.9096
10,40,6,5,8,475,2.81817
10,40,7,5,8,309,2.78409
10,40,8,5,8,579,2.36578
10,40,9,5,8,467,2.52161
10,40,10,5,8,524,2.53101
15,20,1,5,6,464,2.48047
15,20,2,5,8,327,3.22536
15,20,3,5,8,476,3.28801
15,20,4,5,8,480,3.0275
15,20,5,5,7,333,2.77141
15,20,6,5,7,453,3.30453
15,20,7,5,7,450,3.26025
15,20,8,5,8,472,3.10426
15,20,9,5,9,435,3.38268
15,20,10,5,8,587,3.04022
15,40,1,5,9,550,4.07487
15,40,2,5,10,549,4.25372
15,40,3,5,10,626,4.21335
15,40,4,5,10,519,4.2038
15,40,5,5,10,595,4.26706
15,40,6,5,10,625,4.29952
15,40,7,5,10,606,4.20019
15,40,8,5,9,588,3.93095
15,40,9,5,11,660,4.50037
15,40,10,5,10,681,4.39165
15,60,1,5,11,755,4.83593
15,60,2,5,12,671,10.5736
15,60,3,5,12,731,5.0379
15,60,4,5,10,606,6.53866
15,60,5,5,11,737,5.05357
15,60,6,5,11,750,4.94403
15,60,7,5,11,743,5.12137
15,60,8,5,11,768,5.00686
15,60,9,5,12,825,5.41728
15,60,10,5,11,593,5.22188
15,80,1,5,12,661,5.92543
15,80,2,5,12,702,5.59622
15,80,3,5,12,884,5.61482
15,80,4,5,12,776,6.53855
15,80,5,5,12,828,10.9531
15,80,6,5,12,697,6.12363
15,80,7,5,12,862,5.5257
15,80,8,5,12,852,5.33768
15,80,9,5,12,777,5.26611
15,80,10,5,12,750,5.19654
15,100,1,5,13,837,7.30175
15,100,2,5,13,723,6.10085
15,100,3,5,13,805,6.38815
15,100,4,5,13,866,6.08406
15,100,5,5,13,835,5.84583
15,100,6,5,13,971,6.10738
15,100,7,5,14,865,6.18306
15,100,8,5,14,871,6.88757
15,100,9,5,14,877,6.88217
15,100,10,5,13,767,6.2531
20,20,1,5,9,430,4.3211
20,20,2,5,9,501,4.25634
20,20,3,5,10,662,4.97227
20,20,4,5,8,557,3.84163
20,20,5,5,9,487,5.57053
20,20,6,5,9,555,6.13981
20,20,7,5,8,410,4.07908
20,20,8,5,8,568,4.06689
20,20,9,5,7,454,2.82502
20,20,10,5,8,521,3.63732
20,40,1,5,12,793,5.17194
20,40,2,5,10,713,5.2424
20,40,3,5,12,848,6.06286
20,40,4,5,11,564,5.57011
20,40,5,5,12,615,7.13455
20,40,6,5,11,726,7.22496
20,40,7,5,11,680,5.27654
20,40,8,5,12,745,6.24945
20,40,9,5,11,725,6.02006
20,40,10,5,13,767,6.313
20,60,1,5,15,1174,8.36651
20,60,2,5,13,869,7.57612
20,60,3,5,15,785,8.20308
20,60,4,5,14,998,7.61796
20,60,5,5,14,867,7.45784
20,60,6,5,13,732,6.75328
20,60,7,5,14,876,8.17575
20,60,8,5,13,844,9.91396
20,60,9,5,13,901,6.4296
20,60,10,5,14,762,7.82929
20,80,1,5,15,1058,13.4498
20,80,2,5,14,892,7.8452
20,80,3,5,14,939,7.82652
20,80,4,5,15,921,8.57588
20,80,5,5,15,856,8.55583
20,80,6,5,13,840,7.49793
20,80,7,5,14,844,8.76981
20,80,8,5,15,983,7.66033
20,80,9,5,14,925,8.59562
20,80,10,5,14,849,7.69131
20,100,1,5,16,933,10.0707
20,100,2,5,16,984,8.71047
20,100,3,5,14,969,7.68724
20,100,4,5,16,1014,9.06951
20,100,5,5,16,929,8.88658
20,100,6,5,14,773,7.90399
20,100,7,5,16,1102,9.92199
20,100,8,5,15,1077,8.51363
20,100,9,5,16,1042,9.44015
20,100,10,5,16,1115,8.8577
20,120,1,5,16,959,8.97338
20,120,2,5,16,1068,9.76815
20,120,3,5,15,897,17.4973
20,120,4,5,17,1144,9.58717
20,120,5,5,16,1261,9.39886
20,120,6,5,16,1014,10.5378
20,120,7,5,16,1000,9.57081
20,120,8,5,16,1065,19.0475
20,120,9,5,17,1037,13.0169
20,120,10,5,17,802,10.5022
25,40,1,5,13,863,8.05463
25,40,2,5,14,863,8.27519
25,40,3,5,13,977,8.49453
25,40,4,5,13,532,7.9258
25,40,5,5,13,729,8.76048
25,40,6,5,13,726,7.07467
25,40,7,5,13,949,11.7048
25,40,8,5,13,822,7.25702
25,40,9,5,14,828,8.35704
25,40,10,5,14,804,10.9566
25,80,1,5,17,1337,11.4654
25,80,2,5,17,917,11.286
25,80,3,5,17,1171,11.4192
25,80,4,5,16,888,10.7553
25,80,5,5,17,1085,10.8456
25,80,6,5,15,971,10.3754
25,80,7,5,17,1161,21.418
25,80,8,5,16,1039,22.435
25,80,9,5,16,986,22.7169
25,80,10,5,16,1137,28.924
25,100,1,5,18,1223,26.0384
25,100,2,5,19,1212,28.5991
25,100,3,5,20,1255,29.2633
25,100,4,5,18,969,25.8489
25,100,5,5,18,834,26.1008
25,100,6,5,18,1187,25.6454
25,100,7,5,19,951,26.8631
25,100,8,5,17,897,26.0461
25,100,9,5,18,1344,26.2462
25,100,10,5,18,1238,28.3818
25,150,1,5,21,1448,33.5775
25,150,2,5,19,1210,30.0918
25,150,3,5,21,1457,32.4179
25,150,4,5,19,1152,29.8411
25,150,5,5,20,1213,29.939
25,150,6,5,20,1151,40.8122
25,150,7,5,20,1132,26.5905
25,150,8,5,19,1066,34.2448
25,150,9,5,20,1277,30.7861
25,150,10,5,20,1540,31.1314
25,200,1,5,21,1446,38.1982
25,200,2,5,22,1226,36.2612
25,200,3,5,21,1220,39.7874
25,200,4,5,22,1592,36.517
25,200,5,5,20,1304,33.6146
25,200,6,5,21,1458,38.6318
25,200,7,5,20,1313,34.3031
25,200,8,5,21,1662,43.4805
25,200,9,5,21,1371,34.8649
25,200,10,5,21,1152,41.7929
10,10,1,6,4,174,1.64489
10,10,2,6,5,159,1.82235
10,10,3,6,4,232,1.62381
10,10,4,6,4,184,1.31818
10,10,5,6,4,308,1.38843
10,10,6,6,4,268,1.983
10,10,7,6,4,220,1.66756
10,10,8,6,5,372,1.93547
