nodes,edges,instance,beta,n_nodes,value,time
50,500,1,1.6,43,2596,156.258
50,500,1,1.8,44,2643,72.6423
50,500,1,2,44,2643,71.6731
50,500,2,0.2,44,2964,160.152
50,500,2,0.4,43,2900,176.541
50,500,2,0.6,43,2900,157.275
50,500,2,0.8,42,2881,159.542
50,500,2,1,44,2964,163.599
50,500,2,1.2,43,2900,159.319
50,500,2,1.4,44,2964,158.538
50,500,2,1.6,43,2900,162.671
50,500,2,1.8,42,2856,69.6257
50,500,2,2,44,2964,71.098
50,500,3,0.2,43,3094,160.454
50,500,3,0.4,43,3094,157.806
50,500,3,0.6,43,3088,160.619
50,500,3,0.8,43,3088,158.718
50,500,3,1,43,3088,157.385
50,500,3,1.2,43,3088,156.676
50,500,3,1.4,43,3088,159.895
50,500,3,1.6,43,3094,159.777
50,500,3,1.8,43,3094,70.2565
50,500,3,2,43,3088,70.0629
50,500,4,0.2,44,2708,160.017
50,500,4,0.4,44,2708,162.802
50,500,4,0.6,44,2708,160.15
50,500,4,0.8,44,2708,160.42
50,500,4,1,44,2708,161.541
50,500,4,1.2,44,2708,162.789
50,500,4,1.4,44,2708,158.99
50,500,4,1.6,44,2708,159.529
50,500,4,1.8,44,2708,72.2027
50,500,4,2,44,2708,71.4461
50,500,5,0.2,42,2669,166.026
50,500,5,0.4,42,2660,167.217
50,500,5,0.6,42,2669,154.811
50,500,5,0.8,42,2669,156.286
50,500,5,1,42,2669,160.897
50,500,5,1.2,42,2669,155.099
50,500,5,1.4,42,2669,154.524
50,500,5,1.6,42,2665,155.256
50,500,5,1.8,42,2669,69.116
50,500,5,2,42,2669,81.6039
50,500,6,0.2,42,2777,155.297
50,500,6,0.4,42,2777,159.788
50,500,6,0.6,42,2777,156.273
50,500,6,0.8,42,2777,154.545
50,500,6,1,42,2777,154.752
50,500,6,1.2,42,2777,155.038
50,500,6,1.4,42,2777,154.23
50,500,6,1.6,42,2777,157.469
50,500,6,1.8,42,2777,148.092
50,500,6,2,42,2777,69.4753
50,500,7,0.2,43,3041,162.779
50,500,7,0.4,43,3041,162.718
50,500,7,0.6,44,3079,162.468
50,500,7,0.8,44,3079,167.405
50,500,7,1,44,3079,164.939
50,500,7,1.2,44,3079,164.357
50,500,7,1.4,43,3041,167.729
50,500,7,1.6,44,3107,159.282
50,500,7,1.8,44,3107,81.1602
50,500,7,2,43,3041,75.5089
50,500,8,0.2,42,2489,154.422
50,500,8,0.4,42,2489,154.767
50,500,8,0.6,42,2489,158.752
50,500,8,0.8,42,2489,158.21
50,500,8,1,42,2489,154.614
50,500,8,1.2,42,2489,153.618
50,500,8,1.4,42,2489,154.968
50,500,8,1.6,42,2489,155.509
50,500,8,1.8,42,2489,68.9762
50,500,8,2,42,2489,68.9731
50,500,9,0.2,43,2597,158.152
