nodes,edges,instance,n_nodes,value,time,opt
150,500,8,94,5811,7.05067706108093,1
150,500,9,94,6037,6.10852289199829,1
150,500,10,99,6018,5.28442144393921,1
150,750,1,107,6885,31.3243527412415,1
150,750,2,108,6707,28.1111569404602,1
150,750,3,110,6815,44.8424007892609,1
150,750,4,104,7194,15.9002492427826,1
150,750,5,108,7204,22.1827869415283,1
150,750,6,105,7256,27.7468643188477,1
150,750,7,106,6858,28.8917374610901,1
150,750,8,106,6916,37.1801815032959,1
150,750,9,106,6980,24.2777543067932,1
150,750,10,108,7242,29.3714890480042,1
150,1000,1,114,7182,51.9408895969391,1
150,1000,2,116,7728,86.4019277095795,1
150,1000,3,113,7662,87.489767074585,1
150,1000,4,114,7179,41.9834816455841,1
150,1000,5,114,6759,25.9357719421387,1
150,1000,6,115,7022,78.0833609104157,1
150,1000,7,115,7575,46.6209774017334,1
150,1000,8,116,7405,61.7818164825439,1
150,1000,9,112,7348,48.9284691810608,1
150,1000,10,116,7336,53.4881341457367,1
150,2000,1,128,8397,256.619727134705,1
150,2000,2,128,7921,262.375676631928,1
150,2000,3,128,8132,145.96590590477,1
150,2000,4,127,8343,190.975967407227,1
150,2000,5,125,8699,191.761334419251,1
150,2000,6,128,8084,228.362618684769,1
150,2000,7,129,8262,263.460703134537,1
150,2000,8,127,8559,192.01575756073,1
150,2000,9,126,8429,203.478201150894,1
150,2000,10,127,8806,268.356086492538,1
150,3000,1,133,8969,299.167004108429,0
150,3000,2,134,9062,298.706671237946,0
150,3000,3,133,9001,299.067685604095,0
150,3000,4,133,8985,299.376301527023,0
150,3000,5,134,8868,299.016348361969,0
150,3000,6,134,8440,299.955549240112,0
150,3000,7,134,8465,299.011467218399,0
150,3000,8,134,8607,299.031488180161,0
150,3000,9,135,8454,299.093866586685,0
150,3000,10,135,9462,298.867347002029,0
200,250,1,91,5705,0.0400550365447998,1
200,250,2,93,5323,0.0409426689147949,1
200,250,3,89,5046,0.0409677028656006,1
200,250,4,93,5239,0.0420100688934326,1
200,250,5,88,5047,0.0415058135986328,1
200,250,6,86,5421,0.0408902168273926,1
200,250,7,90,5466,0.0426962375640869,1
200,250,8,91,5654,0.0293076038360596,1
200,250,9,91,5545,0.118005037307739,1
200,250,10,89,5058,0.0382835865020752,1
200,500,1,121,7097,4.06842231750488,1
200,500,2,116,7238,4.18370842933655,1
200,500,3,122,7487,6.78192687034607,1
200,500,4,119,7372,0.454410314559937,1
200,500,5,110,6762,0.227378368377686,1
200,500,6,116,7628,5.36784553527832,1
200,500,7,114,7190,6.62363886833191,1
200,500,8,117,7230,5.45691919326782,1
200,500,9,115,7074,0.280178546905518,1
200,500,10,117,7659,6.12912774085999,1
200,750,1,131,8439,58.9780449867249,1
200,750,2,129,8148,40.3726601600647,1
200,750,3,130,8264,31.7829849720001,1
200,750,4,133,8965,57.1246128082275,1
200,750,5,129,8574,17.8460230827332,1
200,750,6,130,8574,31.5634272098541,1
200,750,7,132,8093,11.9611003398895,1
200,750,8,132,8498,39.6938767433167,1
200,750,9,135,8812,62.4481031894684,1
200,750,10,130,8708,29.8448297977448,1
200,1000,1,143,8600,99.9092197418213,1
200,1000,2,143,9537,126.128019571304,1
200,1000,3,143,9226,96.2166640758514,1
200,1000,4,144,9105,254.09516119957,1
200,1000,5,144,8756,107.864464521408,1
200,1000,6,144,9052,150.357366800308,1
200,1000,7,139,8996,77.4101991653442,1
200,1000,8,140,8773,68.7896029949188,1
200,1000,9,140,8988,129.141737699509,1
200,1000,10,140,8932,41.6936893463135,1
200,2000,1,162,10658,299.679756402969,0
200,2000,2,162,10437,299.700103759766,0
200,2000,3,162,10612,299.695199251175,0
200,2000,4,165,10381,299.661959886551,0
200,2000,5,165,10190,299.716296434402,0
